School_Board,School,lat,long
Conseil des écoles catholiques du Centre-Est (CECCE),École élémentaire catholique Roger-Saint-Denis,45.311286,-75.8848437
Conseil des écoles catholiques du Centre-Est (CECCE),École élémentaire catholique Saint-François-d'Assise,45.4024522,-75.7262451
Conseil des écoles catholiques du Centre-Est (CECCE),École élémentaire catholique Sainte-Anne,45.4321121,-75.6837326
Conseil des écoles catholiques du Centre-Est (CECCE),École élémentaire catholique Laurier-Carrière,45.3523888,-75.7147401
Conseil des écoles catholiques du Centre-Est (CECCE),École intermédiaire catholique Franco-Ouest,45.3146516,-75.8363447
Conseil des écoles publiques de l'Est de l'Ontario,École secondaire publique De La Salle,45.4351089,-75.6879125
Conseil Scolaire Viamonde,École Ronald-Marion,43.8596832,-79.0812108
Halton Catholic District School Board,St. Marguerite d’Youville Catholic Elementary School,43.8066733,-79.9777417
Halton District School Board,Oodeenawi Public School,43.4715626,-79.7461279
Peel District School Board,North Field Office,43.6969078,-79.7276962
Peel District School Board,Ross Drive Public School,43.7510838,-79.7861719
Peel District School Board,Briarwood Public School,43.6024038,-79.6220386
Waterloo Region District School Board,Edna Staebler Public School,43.4506122,-80.5796228
Renfrew County District School Board,Fellowes High School,45.8143406,-77.0939769
Peel District School Board,John Fraser Secondary School,43.5601414,-79.718738
